Experiment,Min latency (s),Average Latency (s),Standard Deviation (s)
output-no-controller,13.316,13.459833333333334,0.09604238069148874
output-opus-l_0-baseline,13.34,13.838,0.9688145677407347
output-opus-l_10-baseline,13.354,13.592,0.17016560561210203
output-opus-l_50-baseline,13.717,14.1245,0.37387731945118036
output-opus-l_100-baseline,14.445,14.574999999999998,0.08633075929238666
output-opus-l_250-baseline,14.733,14.850833333333334,0.1423767498185321
output-opus-l_500-baseline,15.632,15.877666666666668,0.18075643526272847
output-opus-l_750-baseline,17.169,17.319333333333333,0.1764772569546064
output-opus-l_1000-baseline,18.542,18.684166666666666,0.09033164205058687
