Experiment,Min latency (s),Average Latency (s),Standard Deviation (s)
output-no-controller,13.316,13.459833333333334,0.09604238069148874
output-opus-l_0-provision,15.833,16.093500000000002,0.36941609331484215
output-opus-l_10-provision,15.667,15.838500000000002,0.16039820240056754
output-opus-l_50-provision,15.986,16.0625,0.0452207548219474
output-opus-l_100-provision,16.084,16.2605,0.14042880758590887
output-opus-l_250-provision,17.107,17.396,0.24738094779779138
output-opus-l_500-provision,18.51,18.619333333333334,0.09784625127662666
output-opus-l_750-provision,19.42,19.687,0.24488500702710797
output-opus-l_1000-provision,20.635,20.781166666666667,0.09818081392116439
