Experiment,Min latency (s),Average Latency (s),Standard Deviation (s)
output-opus-l_0-no-ctl,7.235,7.278833333333334,0.07020782640766551
output-opus-l_0-baseline,7.738,7.747333333333334,0.006968181653455338
output-opus-l_10-baseline,7.733,7.7455,0.008976822006330282
output-opus-l_50-baseline,7.741,7.756,0.011284207253207293
output-opus-l_100-baseline,7.721,7.7315,0.007762087348129896
output-opus-l_250-baseline,7.73,7.745,0.010677078252031147
output-opus-l_500-baseline,7.728,7.740666666666667,0.011025223605694119
output-opus-l_750-baseline,7.732,7.7555000000000005,0.03592932878118737
output-opus-l_1000-baseline,7.727,8.151666666666666,0.9065922763599721
