scenario,total_gpus,gpus_per_node,pp,microbatches,ep_size,variant,latency_label,reconfig_time_ns,wall_min_ns,wall_max_ns,wall_avg_ns,status,output_path
large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,1,eps,none,0,30675367244,37949711618,34312539431,ok,/workspace/astra-sim-opus/examples/large_scale_ep_scaleout_32gpu_512_all2allv_topk_context/runs/ep_001/eps/output.txt
large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,1,eps_fc,none,0,17434739844,21401221394,19417980619,ok,/workspace/astra-sim-opus/examples/large_scale_ep_scaleout_32gpu_512_all2allv_topk_context/runs/ep_001/eps_fc/output.txt
large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,1,opus_diverge,500us,500000,17565540604,21532575971,19549058287,ok,/workspace/astra-sim-opus/examples/large_scale_ep_scaleout_32gpu_512_all2allv_topk_context/runs/ep_001/opus_diverge/log/output_bounded_base_500us.txt
large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,1,opus_diverge,1ms,1000000,17580540604,21547575971,19564058287,ok,/workspace/astra-sim-opus/examples/large_scale_ep_scaleout_32gpu_512_all2allv_topk_context/runs/ep_001/opus_diverge/log/output_bounded_base_500us.txt
large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,1,opus_diverge,10ms,10000000,17850540604,21817575971,19834058287,ok,/workspace/astra-sim-opus/examples/large_scale_ep_scaleout_32gpu_512_all2allv_topk_context/runs/ep_001/opus_diverge/log/output_bounded_base_500us.txt
large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,1,opus_diverge,50ms,50000000,19050540604,23017575971,21034058287,ok,/workspace/astra-sim-opus/examples/large_scale_ep_scaleout_32gpu_512_all2allv_topk_context/runs/ep_001/opus_diverge/log/output_bounded_base_500us.txt
large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,1,opus_diverge,100ms,100000000,20550540604,24517575971,22534058287,ok,/workspace/astra-sim-opus/examples/large_scale_ep_scaleout_32gpu_512_all2allv_topk_context/runs/ep_001/opus_diverge/log/output_bounded_base_500us.txt
large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,1,opus_same,500us,500000,17565540604,21532575971,19549058287,ok,/workspace/astra-sim-opus/examples/large_scale_ep_scaleout_32gpu_512_all2allv_topk_context/runs/ep_001/opus_same/log/output_bounded_base_500us.txt
large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,1,opus_same,1ms,1000000,17580540604,21547575971,19564058287,ok,/workspace/astra-sim-opus/examples/large_scale_ep_scaleout_32gpu_512_all2allv_topk_context/runs/ep_001/opus_same/log/output_bounded_base_500us.txt
large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,1,opus_same,10ms,10000000,17850540604,21817575971,19834058287,ok,/workspace/astra-sim-opus/examples/large_scale_ep_scaleout_32gpu_512_all2allv_topk_context/runs/ep_001/opus_same/log/output_bounded_base_500us.txt
large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,1,opus_same,50ms,50000000,19050540604,23017575971,21034058287,ok,/workspace/astra-sim-opus/examples/large_scale_ep_scaleout_32gpu_512_all2allv_topk_context/runs/ep_001/opus_same/log/output_bounded_base_500us.txt
large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,1,opus_same,100ms,100000000,20550540604,24517575971,22534058287,ok,/workspace/astra-sim-opus/examples/large_scale_ep_scaleout_32gpu_512_all2allv_topk_context/runs/ep_001/opus_same/log/output_bounded_base_500us.txt
large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,2,eps,none,0,15361418728,19000428418,17180923573,ok,/workspace/astra-sim-opus/examples/large_scale_ep_scaleout_32gpu_512_all2allv_topk_context/runs/ep_002/eps/output.txt
large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,2,eps_fc,none,0,8730725552,10715059554,9722892553,ok,/workspace/astra-sim-opus/examples/large_scale_ep_scaleout_32gpu_512_all2allv_topk_context/runs/ep_002/eps_fc/output.txt
large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,2,opus_diverge,500us,500000,9085633064,11091032635,10088332849,ok,/workspace/astra-sim-opus/examples/large_scale_ep_scaleout_32gpu_512_all2allv_topk_context/runs/ep_002/opus_diverge/log/output_bounded_base_500us.txt
large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,2,opus_diverge,1ms,1000000,9100633064,11106032635,10103332849,ok,/workspace/astra-sim-opus/examples/large_scale_ep_scaleout_32gpu_512_all2allv_topk_context/runs/ep_002/opus_diverge/log/output_bounded_base_500us.txt
