Experiment,Min latency (s),Average Latency (s),Standard Deviation (s)
output-opus-no-ctl-dp8,14.29,14.498499999999998,0.1718417392059721
output-opus-l_0-baseline-dp8,14.637,14.709333333333333,0.07008724721532554
output-opus-l_10-baseline-dp8,14.423,14.702666666666667,0.24180134178471577
output-opus-l_50-baseline-dp8,14.638,14.932666666666668,0.2044012937554184
output-opus-l_100-baseline-dp8,14.808,14.991,0.10046392387319955
output-opus-l_250-baseline-dp8,15.61,15.765666666666666,0.08499346380098256
output-opus-l_500-baseline-dp8,16.946,17.23483333333333,0.20054792998737717
output-opus-l_750-baseline-dp8,18.169,18.331666666666667,0.10513589090104031
output-opus-l_1000-baseline-dp8,19.31,19.550833333333333,0.21424162112489362
