Experiment,Min latency (s),Average Latency (s),Standard Deviation (s)
output-opus-no-ctl-dp8,14.29,14.498499999999998,0.1718417392059721
output-opus-l_0-provision-dp8,13.855,13.972999999999999,0.08507447717539399
output-opus-l_10-provision-dp8,13.815,13.985666666666667,0.1504644660893582
output-opus-l_50-provision-dp8,14.027,14.092833333333333,0.03981798867625318
output-opus-l_100-provision-dp8,14.2,14.308,0.0850764362206131
output-opus-l_250-provision-dp8,14.928,15.027333333333333,0.08284657841791349
output-opus-l_500-provision-dp8,16.029,16.172666666666668,0.14439952292934502
output-opus-l_750-provision-dp8,17.467,17.593333333333334,0.08384244483288673
output-opus-l_1000-provision-dp8,18.681,18.7205,0.02800446392988096
