Analytical
2892120904	2892120904	2661556154

Baseline
2861324608	2861324608	2630759858

Reconfigurable
0 ms	3053127457	3053127457	2822562707
0 ms	3052911404	3052911404	2822346654
10 ms	3250249152	3250249152	3019684402
10 ms	3122738578	3122738578	2892173828
50 ms	4130249152	4130249152	3899684402
50 ms	3633912619	3633912619	3403347869
100 ms	5230249152	5230249152	4999684402
100 ms	4333912619	4333912619	4103347869
250 ms	8530249152	8530249152	8299684402
250 ms	7384019322	7384019322	7153454572
500 ms	14030249152	14030249152	13799684402
500 ms	12884019322	12884019322	12653454572
750 ms	19530249152	19530249152	19299684402
750 ms	18384019322	18384019322	18153454572
1 s	25030249152	25030249152	24799684402
1 s	23884019322	23884019322	23653454572
