source,source_label,scenario,total_gpus,gpus_per_node,pp,microbatches,ep_size,variant,latency_label,reconfig_time_ns,wall_min_ns,wall_max_ns,wall_avg_ns,status,output_path
original,EP + TP + DP,large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,1,eps_constrained_baseline,none,0,55074645521,76927653544,66004048220,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context_reconfig_full_bw_eps/runs/original/ep_001/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,2,eps_constrained_baseline,none,0,27761150653,38706277008,33236612518,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context_reconfig_full_bw_eps/runs/original/ep_002/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,4,eps_constrained_baseline,none,0,14094852808,19584530761,16842590289,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context_reconfig_full_bw_eps/runs/original/ep_004/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,8,eps_constrained_baseline,none,0,7262008315,10024011871,8645908394,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context_reconfig_full_bw_eps/runs/original/ep_008/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,16,eps_constrained_baseline,none,0,3022238581,4932420161,3982626359,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context_reconfig_full_bw_eps/runs/original/ep_016/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,32,eps_constrained_baseline,none,0,2058854816,3064511496,2593109540,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context_reconfig_full_bw_eps/runs/original/ep_032/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,64,eps_constrained_baseline,none,0,1333521168,1883943288,1625932532,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context_reconfig_full_bw_eps/runs/original/ep_064/eps_constrained_baseline/log/output_zero.txt
scaleout,EP + DP,large_scale_ep_scaleout_8gpu_256_all2allv_topk_context,256,8,4,4,1,eps_constrained_baseline,none,0,55074645521,76927653544,66004048220,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context_reconfig_full_bw_eps/runs/scaleout/ep_001/eps_constrained_baseline/log/output_zero.txt
scaleout,EP + DP,large_scale_ep_scaleout_8gpu_256_all2allv_topk_context,256,8,4,4,2,eps_constrained_baseline,none,0,24273101831,38931739878,32060362671,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context_reconfig_full_bw_eps/runs/scaleout/ep_002/eps_constrained_baseline/log/output_zero.txt
scaleout,EP + DP,large_scale_ep_scaleout_8gpu_256_all2allv_topk_context,256,8,4,4,4,eps_constrained_baseline,none,0,12439716532,19816455132,16358608913,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context_reconfig_full_bw_eps/runs/scaleout/ep_004/eps_constrained_baseline/log/output_zero.txt
scaleout,EP + DP,large_scale_ep_scaleout_8gpu_256_all2allv_topk_context,256,8,4,4,8,eps_constrained_baseline,none,0,6436597259,10172944627,8421531798,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context_reconfig_full_bw_eps/runs/scaleout/ep_008/eps_constrained_baseline/log/output_zero.txt
