Analytical
22535600635	22535600635	18442641178

Baseline
22750391725	22750391725	18657432268

Reconfigurable
0 ms	22720871223	22720872138	18627912681
0 ms	None	22625676783	18553464239
10 ms	22780813413	22780814328	18687854871
10 ms	22750471806	22750472721	18657513264
50 ms	23136309039	23136309954	19043350497
50 ms	22870471806	22870472721	18777513264
100 ms	23624911462	23624912377	19531952920
100 ms	23020471806	23020472721	18927513264
250 ms	25124911462	25124912377	21031952920
250 ms	23893130628	23893131543	19800172086
500 ms	27624911462	27624912377	23531952920
500 ms	25393130628	25393131543	21300172086
750 ms	30124911462	30124912377	26031952920
750 ms	26893130628	26893131543	22800172086
1 s	32624911462	32624912377	28531952920
1 s	28393130628	28393131543	24300172086
