[92m{'rank': 0, 'backend': 2, 'index': 25, 'time': '09:11:35.709679', 'finish_time': '09:11:35.711216', 'duration_ms': 1.5370000004768372, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 26, 'time': '09:11:35.716679', 'finish_time': '09:11:35.799005', 'duration_ms': 82.3260000012815, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 27, 'time': '09:11:35.723410', 'finish_time': '09:11:35.805070', 'duration_ms': 81.66000000014901, 'coll': '_allgather_base'}
[94m{'rank': 0, 'backend': 1, 'index': 9, 'time': '09:11:35.812161', 'finish_time': '09:11:41.301187', 'duration_ms': 5489.025999996811, 'coll': 'send'}
[92m{'rank': 0, 'backend': 2, 'index': 28, 'time': '09:11:41.304176', 'finish_time': '09:11:46.541401', 'duration_ms': 5237.22500000149, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 29, 'time': '09:11:46.546892', 'finish_time': '09:11:46.547651', 'duration_ms': 0.7590000033378601, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 30, 'time': '09:11:46.564926', 'finish_time': '09:11:46.565542', 'duration_ms': 0.6159999966621399, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 31, 'time': '09:11:46.574781', 'finish_time': '09:11:46.575345', 'duration_ms': 0.5639999955892563, 'coll': '_allgather_base'}
[94m{'rank': 0, 'backend': 1, 'index': 10, 'time': '09:11:46.583557', 'finish_time': '09:11:51.883366', 'duration_ms': 5299.809000004083, 'coll': 'send'}
[94m{'rank': 0, 'backend': 1, 'index': 11, 'time': '09:11:51.883518', 'finish_time': '09:11:51.884018', 'duration_ms': 0.4999999925494194, 'coll': 'recv'}
[92m{'rank': 0, 'backend': 2, 'index': 32, 'time': '09:11:51.886662', 'finish_time': '09:11:57.191593', 'duration_ms': 5304.931000005454, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 33, 'time': '09:11:57.193582', 'finish_time': '09:11:57.194167', 'duration_ms': 0.58500000461936, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 34, 'time': '09:11:57.216080', 'finish_time': '09:11:57.216613', 'duration_ms': 0.5329999998211861, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 35, 'time': '09:11:57.234612', 'finish_time': '09:11:57.235095', 'duration_ms': 0.4829999953508377, 'coll': '_allgather_base'}
[94m{'rank': 0, 'backend': 1, 'index': 12, 'time': '09:11:57.251353', 'finish_time': '09:12:02.521305', 'duration_ms': 5269.952000003308, 'coll': 'recv'}
[92m{'rank': 0, 'backend': 2, 'index': 36, 'time': '09:12:02.573943', 'finish_time': '09:12:07.791416', 'duration_ms': 5217.472999997437, 'coll': '_reduce_scatter_base'}
[92m{'rank': 0, 'backend': 2, 'index': 37, 'time': '09:12:07.793692', 'finish_time': '09:12:07.796437', 'duration_ms': 2.7450000010430813, 'coll': '_reduce_scatter_base'}
[92m{'rank': 0, 'backend': 2, 'index': 38, 'time': '09:12:07.797367', 'finish_time': '09:12:07.799599', 'duration_ms': 2.2320000007748604, 'coll': '_reduce_scatter_base'}
[92m{'rank': 0, 'backend': 2, 'index': 39, 'time': '09:12:07.800254', 'finish_time': '09:12:07.802151', 'duration_ms': 1.897000003606081, 'coll': '_reduce_scatter_base'}
[92m{'rank': 0, 'backend': 2, 'index': 40, 'time': '09:12:07.808249', 'finish_time': '09:12:07.808993', 'duration_ms': 0.7439999952912331, 'coll': 'allreduce'}
[94m{'rank': 0, 'backend': 1, 'index': 13, 'time': '09:12:07.809653', 'finish_time': '09:12:13.081792', 'duration_ms': 5272.1389999985695, 'coll': 'allreduce'}
[92m{'rank': 0, 'backend': 2, 'index': 41, 'time': '09:12:13.085768', 'finish_time': '09:12:18.364370', 'duration_ms': 5278.6020000092685, 'coll': 'allreduce'}
[92m{'rank': 0, 'backend': 2, 'index': 42, 'time': '09:12:18.365546', 'finish_time': '09:12:18.366547', 'duration_ms': 1.0009999983012676, 'coll': 'allreduce'}
[92m{'rank': 0, 'backend': 2, 'index': 43, 'time': '09:12:18.367985', 'finish_time': '09:12:18.368701', 'duration_ms': 0.7160000018775463, 'coll': 'allreduce'}
[92m{'rank': 0, 'backend': 2, 'index': 44, 'time': '09:12:18.392644', 'finish_time': '09:12:18.393286', 'duration_ms': 0.6419999971985817, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 45, 'time': '09:12:18.395861', 'finish_time': '09:12:18.397901', 'duration_ms': 2.0399999991059303, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 46, 'time': '09:12:18.406515', 'finish_time': '09:12:18.413486', 'duration_ms': 6.970999997109175, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 47, 'time': '09:12:18.415437', 'finish_time': '09:12:18.425453', 'duration_ms': 10.015999998897314, 'coll': '_allgather_base'}
[94m{'rank': 0, 'backend': 1, 'index': 14, 'time': '09:12:18.421248', 'finish_time': '09:12:23.621723', 'duration_ms': 5200.474999997765, 'coll': 'send'}
[92m{'rank': 0, 'backend': 2, 'index': 48, 'time': '09:12:23.623437', 'finish_time': '09:12:28.871247', 'duration_ms': 5247.809999998659, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 49, 'time': '09:12:28.875179', 'finish_time': '09:12:28.875835', 'duration_ms': 0.6559999957680702, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 50, 'time': '09:12:28.887732', 'finish_time': '09:12:28.956366', 'duration_ms': 68.63399999216199, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 51, 'time': '09:12:28.897353', 'finish_time': '09:12:28.968679', 'duration_ms': 71.32599999755621, 'coll': '_allgather_base'}
[94m{'rank': 0, 'backend': 1, 'index': 15, 'time': '09:12:28.964446', 'finish_time': '09:12:34.271161', 'duration_ms': 5306.714999999851, 'coll': 'send'}
[94m{'rank': 0, 'backend': 1, 'index': 16, 'time': '09:12:34.271260', 'finish_time': '09:12:34.272241', 'duration_ms': 0.9809999987483025, 'coll': 'recv'}
[92m{'rank': 0, 'backend': 2, 'index': 52, 'time': '09:12:34.274257', 'finish_time': '09:12:39.593702', 'duration_ms': 5319.445000004023, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 53, 'time': '09:12:39.595424', 'finish_time': '09:12:39.596021', 'duration_ms': 0.5969999991357327, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 54, 'time': '09:12:39.619994', 'finish_time': '09:12:39.666559', 'duration_ms': 46.564999997615814, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 55, 'time': '09:12:39.633662', 'finish_time': '09:12:39.688712', 'duration_ms': 55.05000000074506, 'coll': '_allgather_base'}
[94m{'rank': 0, 'backend': 1, 'index': 17, 'time': '09:12:39.680662', 'finish_time': '09:12:45.077686', 'duration_ms': 5397.023999996483, 'coll': 'recv'}
[92m{'rank': 0, 'backend': 2, 'index': 56, 'time': '09:12:45.126020', 'finish_time': '09:12:50.351702', 'duration_ms': 5225.6819999963045, 'coll': '_reduce_scatter_base'}
[92m{'rank': 0, 'backend': 2, 'index': 57, 'time': '09:12:50.354118', 'finish_time': '09:12:50.397789', 'duration_ms': 43.67099999636412, 'coll': '_reduce_scatter_base'}
[92m{'rank': 0, 'backend': 2, 'index': 58, 'time': '09:12:50.358969', 'finish_time': '09:12:50.400981', 'duration_ms': 42.01199999824166, 'coll': '_reduce_scatter_base'}
[92m{'rank': 0, 'backend': 2, 'index': 59, 'time': '09:12:50.402114', 'finish_time': '09:12:50.403859', 'duration_ms': 1.7450000010430813, 'coll': '_reduce_scatter_base'}
[92m{'rank': 0, 'backend': 2, 'index': 60, 'time': '09:12:50.412285', 'finish_time': '09:12:50.412880', 'duration_ms': 0.5950000025331974, 'coll': 'allreduce'}
[94m{'rank': 0, 'backend': 1, 'index': 18, 'time': '09:12:50.414772', 'finish_time': '09:12:55.685747', 'duration_ms': 5270.975000005215, 'coll': 'allreduce'}
[92m{'rank': 0, 'backend': 2, 'index': 61, 'time': '09:12:55.690424', 'finish_time': '09:13:00.968191', 'duration_ms': 5277.767000000924, 'coll': 'allreduce'}
[92m{'rank': 0, 'backend': 2, 'index': 62, 'time': '09:13:00.969332', 'finish_time': '09:13:00.970618', 'duration_ms': 1.2859999984502792, 'coll': 'allreduce'}
[92m{'rank': 0, 'backend': 2, 'index': 63, 'time': '09:13:00.971683', 'finish_time': '09:13:00.972599', 'duration_ms': 0.915999997407198, 'coll': 'allreduce'}
